seed,convention,epoch,forget_class,identity,d_ce,d_arcface,dic
0,centred,1,0,00001,-0.09361258887196489,0.0034620885079024166,0.0970746773798673
0,centred,1,29,00142,-0.09123523122228827,0.002423654111988416,0.09365888533427669
0,centred,1,60,00284,-0.08547557894925895,-0.06695637838601165,0.018519200563247296
0,centred,1,95,00524,-0.10904429278016914,-0.0885393345720078,0.02050495820816134
0,centred,2,0,00001,-0.12228153912389061,-0.000586730198813834,0.12169480892507678
0,centred,2,29,00142,-0.12264128394266305,0.004676822860709473,0.12731810680337252
0,centred,2,60,00284,-0.11495688077520838,-0.10251531871489328,0.012441562060315103
0,centred,2,95,00524,-0.14360970926530636,-0.14596206494770703,-0.002352355682400664
0,centred,3,0,00001,-0.12811743359706684,-0.004327928995020103,0.12378950460204674
0,centred,3,29,00142,-0.1320335746228054,0.006201490360235096,0.1382350649830405
0,centred,3,60,00284,-0.1229725898205829,-0.12094864612874046,0.0020239436918424447
0,centred,3,95,00524,-0.1525965206866846,-0.17402491857378877,-0.021428397887104156
0,uncentred,1,0,00001,-0.2861765182910956,-0.0186690308306241,0.2675074874604715
0,uncentred,1,29,00142,-0.27835371569800726,-0.03021858865497884,0.24813512704302843
0,uncentred,1,60,00284,-0.2755194069548814,-0.026533325206413605,0.2489860817484678
0,uncentred,1,95,00524,-0.29617303683064994,-0.02119647073923281,0.27497656609141713
0,uncentred,2,0,00001,-0.34747299669231646,-0.027690135622303935,0.3197828610700125
0,uncentred,2,29,00142,-0.3454541737350443,-0.03928078775960209,0.3061733859754422
0,uncentred,2,60,00284,-0.3409851252196311,-0.03518150741264958,0.3058036178069815
0,uncentred,2,95,00524,-0.36567099398947844,-0.03099256281114049,0.33467843117833795
0,uncentred,3,0,00001,-0.3590982262238139,-0.03172387600642912,0.32737435021738476
0,uncentred,3,29,00142,-0.36370772270234525,-0.0428288858125242,0.32087883688982105
0,uncentred,3,60,00284,-0.3572277567868507,-0.038747064647901897,0.3184806921389488
0,uncentred,3,95,00524,-0.38205269908646816,-0.035089002870771324,0.34696369621569684
1,centred,1,0,00001,-0.08807834249461444,-0.01460785343355786,0.07347048906105658
1,centred,1,29,00142,-0.10035131803974662,-0.0732937279933108,0.02705759004643582
1,centred,1,60,00284,-0.08501979574521501,-0.04443546687455446,0.040584328870660547
1,centred,1,95,00524,-0.09870659382995073,-0.001970017392764478,0.09673657643718625
1,centred,2,0,00001,-0.1163753323228931,-0.023773162155642402,0.0926021701672507
1,centred,2,29,00142,-0.13222341853045716,-0.10762496164802571,0.024598456882431452
1,centred,2,60,00284,-0.11280019907682592,-0.0696428861223587,0.04315731295446723
1,centred,2,95,00524,-0.12719055290134762,-0.004303876830915931,0.12288667607043169
1,centred,3,0,00001,-0.12305800251217225,-0.029215563219929686,0.09384243929224256
1,centred,3,29,00142,-0.1399170476284316,-0.12259780211460392,0.017319245513827686
1,centred,3,60,00284,-0.11918203048290321,-0.0837080206222457,0.03547400986065752
1,centred,3,95,00524,-0.13336178195654425,-0.005750410843070597,0.12761137111347365
1,uncentred,1,0,00001,-0.28678202295745764,-0.03027959690063875,0.2565024260568189
1,uncentred,1,29,00142,-0.2847050158106484,-0.030816094344348954,0.25388892146629943
1,uncentred,1,60,00284,-0.2706520892594366,-0.02706745420089396,0.24358463505854266
1,uncentred,1,95,00524,-0.2864601552784146,-0.027240076446392703,0.2592200788320219
1,uncentred,2,0,00001,-0.35013638486898874,-0.03856787069255907,0.31156851417642967
1,uncentred,2,29,00142,-0.3497054961368232,-0.03974791372512665,0.3099575824116966
1,uncentred,2,60,00284,-0.33346027182170024,-0.035307661853152594,0.29815260996854764
1,uncentred,2,95,00524,-0.3463118341689785,-0.036172090112758015,0.31013974405622047
1,uncentred,3,0,00001,-0.3639322150198994,-0.0418497675493974,0.322082447470502
1,uncentred,3,29,00142,-0.36406731581464646,-0.043182792266008185,0.3208845235486383
1,uncentred,3,60,00284,-0.34671310571494296,-0.03871585811891465,0.3079972475960283
1,uncentred,3,95,00524,-0.35837841874975696,-0.03978036236923854,0.3185980563805184
