stratum,lineage,head,seed,K,forget_id,update_mode,dose,protocol,epochs_recorded,first_zero_epoch,centred_reversal_ep1,centred_reversal_any_epoch,centred_reversal_epochs,uncentred_reversal_any,nc3_centred_ep0,source_artifact,reused_elsewhere
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,100,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8701082937546062,logs_classcount/K100/unlearn/faces_ce_seed0_random_label_clfonly_fc0,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,100,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.8616787413457216,logs_classcount/K100/unlearn/faces_ce_seed0_random_label_clfonly_fc29,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,100,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8420344740702896,logs_classcount/K100/unlearn/faces_ce_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,100,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.818477679133266,logs_classcount/K100/unlearn/faces_ce_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,100,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.9790890601472682,logs_classcount/K100/unlearn/faces_arcface_seed0_random_label_clfonly_fc0,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,100,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,3,False,False,-,False,0.9368128075948416,logs_classcount/K100/unlearn/faces_arcface_seed0_random_label_clfonly_fc29,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,100,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7382479609812342,logs_classcount/K100/unlearn/faces_arcface_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,100,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,NOT_ATTAINED,False,False,-,False,0.704540387900574,logs_classcount/K100/unlearn/faces_arcface_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,250,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8274994088571493,logs_classcount/K250/unlearn/faces_ce_seed0_random_label_clfonly_fc0,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,250,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8560512788541546,logs_classcount/K250/unlearn/faces_ce_seed0_random_label_clfonly_fc29,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,250,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.823240952305248,logs_classcount/K250/unlearn/faces_ce_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,250,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8012715888865742,logs_classcount/K250/unlearn/faces_ce_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
